importId;prodProcess_code;name;priority;workCenter_code;description;minCapacityPerCycle;maxCapacityPerCycle;durationPerCycle_seconds
;PP-1005-1;ZIG ZAG Z;11;ZIG ZAG;"PROCESO DELANTERO: COLOCAR ABROCHADURA SOBRE DELANTERO SEGUN REFERENCIA Y TALLA , HEMBRA LADO IZQUIERDO, MACHO LADO DERECHO
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : COLOCAR ABROCHADURA HILERAS CONTINUAS, VER MUESTRA FISICA";0;0;0
;PP-1005-1;2 AGUJAS PT;12;2 AGUJAS;"PROCESO DELANTERO: COLOCAR TAPAVARILLAS A 2 CM DEL ORILLO EN V (CON PLANTILLA) 
PUNTADAS POR PULGADAS P X P: 14
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : COLOCAR TAPAVARILLAS 100 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;2 AGUJAS P6;13;2 AGUJAS;"PROCESO DELANTERO: COLOCAR TAPAVARILLAS SEGUN REFERENCIA (MARCAS DE INDICACION O PIQUETES)
PUNTADAS POR PULGADAS P X P: 14
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : COLOCAR TAPAVARILLAS 50 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;OBSERVACION 1;14;;LA FAJA QUEDA ARMADA CON POSTERIOR Y DELANTERO BROCHE, SE LE COLOCA LA ABROCHADURA Y TAPAVARILLAS DEL BROCHE, COSTADOS Y POSTERIORES;0;0;0
;PP-1005-1;FILETEADORA FT12;15;"FILETEADORA ";"PROCESO DELANTERO: FILETEAR TODAS LAS PIEZAS VERTICALMENTE (ARRIBA-ABAJO NO) 
PUNTADAS POR PULGADAS P X P: 12
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : FILETEAR PIEZAS DELANTERAS Y POSTERIOR 120 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;FILETEADORA F12;16;"FILETEADORA ";"PROCESO DELANTERO: SE EMPÁREJA LA PARTE INFERIOR DE INICIO A FIN
PUNTADAS POR PULGADAS P X P: 10
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : EMPAREJAR PARTE INFERIOR X2 60 X H, X1 120 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;COLLARIN (2 AGUJAS SIN RECUBRIDOR) CAB;17;COLLARIN (2 AGUJAS SIN RECUBRIDOR);"PROCESO DELANTERO: SESGAR PARTE INFERIOR (SI TIENE VELCRO CON SESGO ALGODON)
PUNTADAS POR PULGADAS P X P: 16
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : SESGAR INFERIOR 100 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;PLANA P8;18;PLANA;"PROCESO DELANTERO: FIJAR CIERRE AL DELANTERO SEGUN REFERENCIA
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : UNIR CIERRE AL DELANTERO, VER MUESTRA FISICA";0;0;0
;PP-1005-1;COLLARIN (3 AGUJAS CON RECUBRIDOR) C3;19;COLLARIN (3 AGUJAS CON RECUBRIDOR);"PROCESO DELANTERO: FIJAR CIERRE EN FORMA VERTICAL LADO DERECHO Y LADO IZQUIERDO
PUNTADAS POR PULGADAS P X P: 16
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : FIGURADO DE CIERRE 70 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;2 AGUJAS P6;20;2 AGUJAS;"PROCESO DELANTERO: COLOCAR TAPAVARILLAS SEGUN REFERENCIA (MARCAS DE INDICACION O PIQUETES)
PUNTADAS POR PULGADAS P X P: 14
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : COLOCAR TAPAVARILLAS 50 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;PRESILLADORA PR4;21;PRESILLADORA;"PROCESO DELANTERO: PRESILLAR SOBRE TAPAVARILLAS PARTE INFERIOR (SI TIENE SESGO)=A 2 MM DEL ORILLO DEL SESGO SIN PISARLO SEGUN REFERENCIA
PUNTADAS POR PULGADAS P X P: 20
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : PRESILLAR PARTE INFERIOR SOBRE TAPA VARILLAS, VER MUESTRA FISICA";0;0;0
;PP-1005-1;PLANA PG;22;PLANA;"PROCESO DELANTERO: FIJAR GAFETE 1X1 EN DELANTERO AUXILIAR PARA CIERRE DEL DELANTERO ESTOS SE COLOCAN SOBRE LA COSTURA DEL TAPAVARILLAS DEJANDOUNA PESTAÑA DE 2 MM AL GAFETE, Y SE COLOCA EL PRIMER GAFETE A 3 CM DEL ORILLO INFERIOR EL 2 A 7 DEL 1 GAFETE Y EL 3 A 7 CM DEL 2 GAFETE (TOTAL 3)
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : FIJAR GAFETE 1X1, VER MUESTRA FISICA";0;0;0
;PP-1005-1;MANUAL M4;23;MANUAL;"PROCESO DELANTERO: METER VARILLAS POR EL CENTRO DEL TAPAVARILLAS 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : METER VARILLAS X4 120 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;FILETEADORA F5;24;"FILETEADORA ";"PROCESO DELANTERO: EMPAREJAR CONTORNO SUPERIOR COMPLETO Y MARQUILLAR SEGUN REFERENCIA
PUNTADAS POR PULGADAS P X P: 12
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : EMPAREJAR Y MARQUILLAR, VER MUESTRA FISICA";0;0;0
;PP-1005-1;COLLARIN (2 AGUJAS SIN RECUBRIDOR) CAR;25;COLLARIN (2 AGUJAS SIN RECUBRIDOR);"PROCESO DELANTERO: SESGAR PARTE SUPERIOR (SI TIENE VELCRO CON SESGO ALGODON)
PUNTADAS POR PULGADAS P X P: 16
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : SESGAR SUPERIOR 100 X H, VER MUESTRA FISICA";0;0;0
;PP-1005-1;PLANA P;26;PLANA;"PROCESO DELANTERO: FIJAR ABROCHADURA DE LAS COPAS 
PUNTADAS POR PULGADAS P X P: 14
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : UNIR ABROCHADURA DE LAS COPAS, VER MUESTRA FISICA";0;0;0
;PP-1005-1;BASS B3;27;BASS;"PROCESO DELANTERO: FIJAR GAFETE SEGUN DISEÑO
PUNTADAS POR PULGADAS P X P: 20
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : UNIR GAFETE, VER MUESTRA FISICA";0;0;0
;PP-1005-1;PRESILLADORA PR3;28;PRESILLADORA;"PROCESO DELANTERO: PRESILLAR SOBRE TAPAVARILLAS PARTE SUPERIOR (SI TIENE SESGO)=A 2 MM DEL ORILLO DEL SESGO SIN PISARLO, COLOCAR Z Y PASADOR SI ES CON CIERRE SEGUN REFERENCIA
PUNTADAS POR PULGADAS P X P: 20
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : PRESILLAR SOBRE TAPA VARILLAS, VER MUESTRA FISICA";0;0;0
;PP-1005-1;PRESILLADORA PR2;29;PRESILLADORA;"PROCESO DELANTERO: PRESILLAR DELANTERO INTERNO PARTE SUPERIOR E INFERIOR DOBLANDO EL SESGO HACIA EL REVEZ X 4, PRESILLAR EN TAPABROCHES DOBLANDO EL SESGO HACIA EL REVEZ X 4 COLOCANDO Z DE 9 MM Y PASADOR PARA LA Z 9 MM, EN LA PARTE INFERIOR DEL TAPABROCHES DOBLAR EL TAPAVARILLAS PARA EL REVEZ, PRESILLAR PARTE SUPERIOR Y PARTE INFERIOR EN LOS TAPAVARILLAS A 2 MM DEL SESGO SIN PISARLO.
PUNTADAS POR PULGADAS P X P: 20
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : PRESILLAR COMPLETO 30X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;PRE VERIFICACION;1;;TODAS LAS PUNTADAS SE DEBEN DE VERIFICAR QUE NO REVIENTEN ANTES DE INICIAR EL PROCESO EN LAS PRENDAS. PARA EL TAPAVARILLA DEL DELANTERO (CIERRE): SE COLOCA PLANTILLA A LOS 2 CM DEL ORILLO DEL FRENTE PARA TODAS LAS TALLAS. PRENDA CON DOBLE SISTEMA DE AJUSTE PARTE INTERNA BROCHE, SE PREPARA LOS DELANTEROS BROCHES COMPLETOS PARA FIJARSE A LA PRENDA. PARTE EXTERNA CIERRE, SE PREPARA REF CON EL CIERRE Y SE FIJA LA PARTE INTERNA DE LOS BROCHES CON TAPAVARILLAS;0;0;0
;PP-1006-1;CORTE CO1;2;CORTE;"PROCESO DELANTERO: CORTAR SEGUN MINI TRAZO, VERIFICAR LAS ESPECIFICACIONES DEL MINI TRAZO, VERIFICAR QUE LAS LETRAS DEL TRAZO NO ESTEN MONTADAS, CORTE ENTREGA 1 TRAZO POR CADA COLOR A CORTAR, ASI TODAS LAS PIEZAS QUEDAN CON SU RESPECTIVO MOLDE. ENTREGAR REF COMPLETA A MODULO DE ALFILERADO, MARCAR LOS TIQUETES SEGUN PAQUETE CON LA REFERENCIA Y NOMBRE QUE CORRESPONDE DEL CLIENTE, PAQUETEADO POR SEPARADO DELANTEROS Y POSTERIORES, COLAS, COPAS, MANGAS PAQUETEANDO POR SEPARADO Y EN BOLSAS TRANSPARENTES CON TIQUETES MARCADOS EN REF, TALLA, COLOR, MARQUILLA, PAQUETE, CLIENTE. 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : CORTAR SEGUN MINI TRAZO, VER MUESTRA FISICA";0;0;0
;PP-1006-1;CORTE CO2;3;CORTE;"PROCESO DELANTERO: ENTREGAR REF COMPLETA A MODULO DE ALFILERADO, MARCAR LOS TIQUETES SEGUN PAQUETE CON LA REFERENCIA Y NOMBRE QUE CORRESPONDE DEL CLIENTE, PAQUETEADO POR SEPARADO DELANTEROS Y POSTERIORES, COLAS, COPAS, MANGAS PAQUETEANDO POR SEPARADO Y EN BOLSAS TRANSPARENTES CON TIQUETES MARCADOS EN REF, TALLA, COLOR, MARQUILLA, PAQUETE, CLIENTE. 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : ENTREGAR A ALFILERADO, VER MUESTRA FISICA";0;0;0
;PP-1006-1;MANUAL MN3;4;MANUAL;"PROCESO DELANTERO: CORTAR ABROCHADURA SEGUN REFERENCIA Y TALLA, VERIFICAR CON MANUAL 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : CORTAR ABROCHADURA 3 HILERAS, VER MUESTRA FISICA";0;0;0
;PP-1006-1;ALFILERADO REF: 1003 Y 1008 A2;5;ALFILERADO REF: 1003 Y 1008;"PROCESO DELANTERO: ALFILERAR DELANTERO CON DELANTERO FORRO, ALFILERAR DELANTERO INTERNO CON DELANTERO INTERNO FORRO (DOBLE SISTEMA DE AJUSTE)ENTREGAR REFERENCIA A PRODUCCION 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : ALFILERAR DELANTERO DOBLE SISTEMA DE AJUSTE 40 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;ALFILERADO A5;6;ALFILERADO;"PROCESO DELANTERO: ALFILERAR POSTERIOR CON POSTERIOR FORRO (+ POSTERIOR EXTERNO LYCRA SI LA REFERENCIA LO TIENE) SEGUN DISEÑO, ENTREGAR REFERENCIA A PRODUCCION 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : ALFILERAR POSTERIOR X2, VER MUESTRA FISICA";0;0;0
;PP-1006-1;ALFILERADO ENTREGA COMPLETO AE;7;ALFILERADO ENTREGA COMPLETO;"PROCESO DELANTERO: SE ENTREGA REFERENCIA COMPLETA A PRODUCCION MAQUINAS
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : ENTREGAR A PRODUCCION, VER MUESTRA FISICA";0;0;0
;PP-1006-1;FILETEADORA LOOPER CIEGO F3;8;FILETEADORA LOOPER CIEGO;"PROCESO DELANTERO: UNIR COSTADO DELANTERO CON POSTERIOR X 2 Y POSTERIOR ESPALDA X 1
PUNTADAS POR PULGADAS P X P: 18
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : UNIR CON LOOPER CIEGO X 3 - 60/U, VER MUESTRA FISICA";0;0;0
;PP-1006-1;FLATSE MEAR REFUERZO FLF;9;"FLATSE MEAR REFUERZO ";"PROCESO DELANTERO: HACER COSTURAS DE REFUERZO EN UNIONES DE FILETEADORA LOOPER CIEGO 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : REFUERZO DE COSTURAS, VER MUESTRA FISICA";0;0;0
;PP-1006-1;FILETEADORA FF;10;"FILETEADORA ";"PROCESO DELANTERO: FILETEAR FRENTE DELANTERO SI LLEVA ABROCHADURA EN EL DELANTERO, FILETEAR FRENTE DELANTERO Y LA PARTE INFERIOR SI LLEVA CIERRE SEPARARABLE
PUNTADAS POR PULGADAS P X P: 12
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : FILETEAR DELANTERO 120 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;ZIG ZAG Z;11;ZIG ZAG;"PROCESO DELANTERO: COLOCAR ABROCHADURA SOBRE DELANTERO SEGUN REFERENCIA Y TALLA , HEMBRA LADO IZQUIERDO, MACHO LADO DERECHO
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : COLOCAR ABROCHADURA HILERAS CONTINUAS, VER MUESTRA FISICA";0;0;0
;PP-1006-1;2 AGUJAS PT;12;2 AGUJAS;"PROCESO DELANTERO: COLOCAR TAPAVARILLAS A 2 CM DEL ORILLO EN V (CON PLANTILLA) 
PUNTADAS POR PULGADAS P X P: 14
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : COLOCAR TAPAVARILLAS 100 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;2 AGUJAS P6;13;2 AGUJAS;"PROCESO DELANTERO: COLOCAR TAPAVARILLAS SEGUN REFERENCIA (MARCAS DE INDICACION O PIQUETES)
PUNTADAS POR PULGADAS P X P: 14
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : COLOCAR TAPAVARILLAS 50 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;OBSERVACION 1;14;;LA FAJA QUEDA ARMADA CON POSTERIOR Y DELANTERO BROCHE, SE LE COLOCA LA ABROCHADURA Y TAPAVARILLAS DEL BROCHE, COSTADOS Y POSTERIORES;0;0;0
;PP-1006-1;FILETEADORA FT12;15;"FILETEADORA ";"PROCESO DELANTERO: FILETEAR TODAS LAS PIEZAS VERTICALMENTE (ARRIBA-ABAJO NO) 
PUNTADAS POR PULGADAS P X P: 12
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : FILETEAR PIEZAS DELANTERAS Y POSTERIOR 120 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;FILETEADORA F12;16;"FILETEADORA ";"PROCESO DELANTERO: SE EMPÁREJA LA PARTE INFERIOR DE INICIO A FIN
PUNTADAS POR PULGADAS P X P: 10
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : EMPAREJAR PARTE INFERIOR X2 60 X H, X1 120 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;COLLARIN (2 AGUJAS SIN RECUBRIDOR) CAB;17;COLLARIN (2 AGUJAS SIN RECUBRIDOR);"PROCESO DELANTERO: SESGAR PARTE INFERIOR (SI TIENE VELCRO CON SESGO ALGODON)
PUNTADAS POR PULGADAS P X P: 16
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : SESGAR INFERIOR 100 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;PLANA P8;18;PLANA;"PROCESO DELANTERO: FIJAR CIERRE AL DELANTERO SEGUN REFERENCIA
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : UNIR CIERRE AL DELANTERO, VER MUESTRA FISICA";0;0;0
;PP-1006-1;COLLARIN (3 AGUJAS CON RECUBRIDOR) C3;19;COLLARIN (3 AGUJAS CON RECUBRIDOR);"PROCESO DELANTERO: FIJAR CIERRE EN FORMA VERTICAL LADO DERECHO Y LADO IZQUIERDO
PUNTADAS POR PULGADAS P X P: 16
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : FIGURADO DE CIERRE 70 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;2 AGUJAS P6;20;2 AGUJAS;"PROCESO DELANTERO: COLOCAR TAPAVARILLAS SEGUN REFERENCIA (MARCAS DE INDICACION O PIQUETES)
PUNTADAS POR PULGADAS P X P: 14
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : COLOCAR TAPAVARILLAS 50 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;PRESILLADORA PR4;21;PRESILLADORA;"PROCESO DELANTERO: PRESILLAR SOBRE TAPAVARILLAS PARTE INFERIOR (SI TIENE SESGO)=A 2 MM DEL ORILLO DEL SESGO SIN PISARLO SEGUN REFERENCIA
PUNTADAS POR PULGADAS P X P: 20
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : PRESILLAR PARTE INFERIOR SOBRE TAPA VARILLAS, VER MUESTRA FISICA";0;0;0
;PP-1006-1;PLANA PG;22;PLANA;"PROCESO DELANTERO: FIJAR GAFETE 1X1 EN DELANTERO AUXILIAR PARA CIERRE DEL DELANTERO ESTOS SE COLOCAN SOBRE LA COSTURA DEL TAPAVARILLAS DEJANDOUNA PESTAÑA DE 2 MM AL GAFETE, Y SE COLOCA EL PRIMER GAFETE A 3 CM DEL ORILLO INFERIOR EL 2 A 7 DEL 1 GAFETE Y EL 3 A 7 CM DEL 2 GAFETE (TOTAL 3)
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : FIJAR GAFETE 1X1, VER MUESTRA FISICA";0;0;0
;PP-1006-1;MANUAL M4;23;MANUAL;"PROCESO DELANTERO: METER VARILLAS POR EL CENTRO DEL TAPAVARILLAS 
PUNTADAS POR PULGADAS P X P: 
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : METER VARILLAS X4 120 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;FILETEADORA F5;24;"FILETEADORA ";"PROCESO DELANTERO: EMPAREJAR CONTORNO SUPERIOR COMPLETO Y MARQUILLAR SEGUN REFERENCIA
PUNTADAS POR PULGADAS P X P: 12
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : EMPAREJAR Y MARQUILLAR, VER MUESTRA FISICA";0;0;0
;PP-1006-1;COLLARIN (2 AGUJAS SIN RECUBRIDOR) CAR;25;COLLARIN (2 AGUJAS SIN RECUBRIDOR);"PROCESO DELANTERO: SESGAR PARTE SUPERIOR (SI TIENE VELCRO CON SESGO ALGODON)
PUNTADAS POR PULGADAS P X P: 16
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : SESGAR SUPERIOR 100 X H, VER MUESTRA FISICA";0;0;0
;PP-1006-1;PLANA P;26;PLANA;"PROCESO DELANTERO: FIJAR ABROCHADURA DE LAS COPAS 
PUNTADAS POR PULGADAS P X P: 14
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : UNIR ABROCHADURA DE LAS COPAS, VER MUESTRA FISICA";0;0;0
;PP-1006-1;PRESILLADORA PR3;27;PRESILLADORA;"PROCESO DELANTERO: PRESILLAR SOBRE TAPAVARILLAS PARTE SUPERIOR (SI TIENE SESGO)=A 2 MM DEL ORILLO DEL SESGO SIN PISARLO, COLOCAR Z Y PASADOR SI ES CON CIERRE SEGUN REFERENCIA
PUNTADAS POR PULGADAS P X P: 20
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : PRESILLAR SOBRE TAPA VARILLAS, VER MUESTRA FISICA";0;0;0
;PP-1006-1;PRESILLADORA PR2;28;PRESILLADORA;"PROCESO DELANTERO: PRESILLAR DELANTERO INTERNO PARTE SUPERIOR E INFERIOR DOBLANDO EL SESGO HACIA EL REVEZ X 4, PRESILLAR EN TAPABROCHES DOBLANDO EL SESGO HACIA EL REVEZ X 4 COLOCANDO Z DE 9 MM Y PASADOR PARA LA Z 9 MM, EN LA PARTE INFERIOR DEL TAPABROCHES DOBLAR EL TAPAVARILLAS PARA EL REVEZ, PRESILLAR PARTE SUPERIOR Y PARTE INFERIOR EN LOS TAPAVARILLAS A 2 MM DEL SESGO SIN PISARLO.
PUNTADAS POR PULGADAS P X P: 20
RECORRIDO OPERACIONAL DELANTERO Y POSTERIO UNIDOS : PRESILLAR COMPLETO 30X H, VER MUESTRA FISICA";0;0;0
;PP-1008-1;PRE VERIFICACION;1;;TODAS LAS PUNTADAS SE DEBEN DE VERIFICAR QUE NO REVIENTEN ANTES DE INICIAR EL PROCESO EN LAS PRENDAS. PRENDA CON DOBLE SISTEMA DE AJUSTE PARTE INTERNA BROCHE, SE PREPARA LOS DELANTEROS BROCHES COMPLETOS PARA FIJARSE A LA PRENDA. PARTE EXTERNA CIERRE, SE PREPARA REF CON EL CIERRE Y SE FIJA LA PERTE INTERNA DE LOS BROCHES CON TAPAVARILLAS;0;0;0
